# Header information on force file

1_1
N 2000  R        0.005000       10.000000
  316      1.58000000    122.46460600    229.28070800
  317      1.58500000    121.32903400    228.19754600
  318      1.59000000    120.19346300    227.11438300
  319      1.59500000    119.05789100    226.03122100
  320      1.60000000    117.92231900    224.94805800
  321      1.60500000    116.80841000    223.86489600
  322      1.61000000    115.69450200    222.78173400
  323      1.61500000    114.58059300    221.69857100
  324      1.62000000    113.46668400    220.61540900
  325      1.62500000    112.37443900    219.53224700
  326      1.63000000    111.28219300    218.44908400
  327      1.63500000    110.18994700    217.36592200
  328      1.64000000    109.09770200    216.28275900
  329      1.64500000    108.02712000    215.19959600
  330      1.65000000    106.95653800    214.11643400
  331      1.65500000    105.88595600    213.03327100
  332      1.66000000    104.81537400    211.95010900
  333      1.66500000    103.76645500    210.86694600
  334      1.67000000    102.71753600    209.78378400
  335      1.67500000    101.66861700    208.70062100
  336      1.68000000    100.61969800    207.61745900
  337      1.68500000     99.59244200    206.53429600
  338      1.69000000     98.56518700    205.45113400
  339      1.69500000     97.53793100    204.36797100
  340      1.70000000     96.51067500    203.28480900
  341      1.70500000     95.50508300    202.20164600
  342      1.71000000     94.49949100    201.11848400
  343      1.71500000     93.49389800    200.03532100
  344      1.72000000     92.48830600    198.95215900
  345      1.72500000     91.50437700    197.86899600
  346      1.73000000     90.52044700    196.78583400
  347      1.73500000     89.53651800    195.70267100
  348      1.74000000     88.55258900    194.61950900
  349      1.74500000     87.59032300    193.53634700
  350      1.75000000     86.62805700    192.45318400
  351      1.75500000     85.66579100    191.37002200
  352      1.76000000     84.70352500    190.28686000
  353      1.76500000     83.76292200    189.20369700
  354      1.77000000     82.82232000    188.12053500
  355      1.77500000     81.88171700    187.03737200
  356      1.78000000     80.94111500    185.95421000
  357      1.78500000     80.02217500    184.87104700
  358      1.79000000     79.10323600    183.78788500
  359      1.79500000     78.18429700    182.70472300
  360      1.80000000     77.26535700    181.62156000
  361      1.80500000     76.36808100    180.53839800
  362      1.81000000     75.47080400    179.45523500
  363      1.81500000     74.57352800    178.37207300
  364      1.82000000     73.67625200    177.28891000
  365      1.82500000     72.80063900    176.20574800
  366      1.83000000     71.92502700    175.12258500
  367      1.83500000     71.04941400    174.03942300
  368      1.84000000     70.17380100    172.95626000
  369      1.84500000     69.31985100    171.87309800
  370      1.85000000     68.46590200    170.78993500
  371      1.85500000     67.61195200    169.70677300
  372      1.86000000     66.75800200    168.62361000
  373      1.86500000     65.92571600    167.54044800
  374      1.87000000     65.09342900    166.45728500
  375      1.87500000     64.26114300    165.37412300
  376      1.88000000     63.42885600    164.29096100
  377      1.88500000     62.61823300    163.20779800
  378      1.89000000     61.80760900    162.12463600
  379      1.89500000     60.99698600    161.04147300
  380      1.90000000     60.18636300    159.95831100
  381      1.90500000     59.39740300    158.87514800
  382      1.91000000     58.60844300    157.79198600
  383      1.91500000     57.81948400    156.70882300
  384      1.92000000     57.03052400    155.62566100
  385      1.92500000     56.26322700    154.54249800
  386      1.93000000     55.49593100    153.45933600
  387      1.93500000     54.72863400    152.37617300
  388      1.94000000     53.96133700    151.29301100
  389      1.94500000     53.21570300    150.20984800
  390      1.95000000     52.47007000    149.12668600
