# Header information on force file

1_1
N 2000  R        0.012511       25.022000
   94      1.17603400    145.12402500   1326.81771900
   95      1.18854500    143.74199700   1314.17800300
   96      1.20105600    142.35996900   1301.53828800
   97      1.21356700    140.97794100   1288.89857200
   98      1.22607800    139.59591200   1276.25885600
   99      1.23858900    138.21388400   1263.61914100
  100      1.25110000    136.83185600   1250.97942500
  101      1.26361100    135.44982800   1238.33970900
  102      1.27612200    134.06779900   1225.69999400
  103      1.28863300    132.68577100   1213.06027800
  104      1.30114400    131.30374300   1200.42056200
  105      1.31365500    129.92171500   1187.78084700
  106      1.32616600    128.53968700   1175.14113100
  107      1.33867700    127.15765800   1162.50141500
  108      1.35118800    125.77563000   1149.86170000
  109      1.36369900    124.39360200   1137.22198400
  110      1.37621000    123.01157400   1124.58226800
  111      1.38872100    121.62954500   1111.94255300
  112      1.40123200    120.24751700   1099.30283700
  113      1.41374300    118.86548900   1086.66312100
  114      1.42625400    117.48346100   1074.02340600
  115      1.43876500    116.10143200   1061.38369000
  116      1.45127600    114.71940400   1048.74397400
  117      1.46378700    113.33737600   1036.10425900
  118      1.47629800    111.95534800   1023.46454300
  119      1.48880900    110.57331900   1010.82482700
  120      1.50132000    109.19129100    998.18511200
  121      1.51383100    107.80926300    985.54539600
  122      1.52634200    106.42723500    972.90568000
  123      1.53885300    105.04520600    960.26596500
  124      1.55136400    103.66317800    947.62624900
  125      1.56387500    102.28115000    934.98653300
  126      1.57638600    100.89912200    922.34681800
  127      1.58889700     99.51709300    909.70710200
  128      1.60140800     98.13506500    897.06738600
  129      1.61391900     96.75303700    884.42767100
  130      1.62643000     95.37100900    871.78795500
  131      1.63894100     93.98898000    859.14823900
  132      1.65145200     92.60695200    846.50852400
  133      1.66396300     91.22492400    833.86880800
  134      1.67647400     89.84289600    821.22909200
  135      1.68898500     88.46086800    808.58937700
  136      1.70149600     87.07883900    795.94966100
  137      1.71400700     85.69681100    783.30994500
  138      1.72651800     84.31478300    770.67023000
  139      1.73902900     82.93275500    758.03051400
  140      1.75154000     81.55072600    745.39079800
  141      1.76405100     80.16869800    732.75108300
  142      1.77656200     78.78667000    720.11136700
  143      1.78907300     77.40464200    707.47165100
  144      1.80158400     76.02261300    694.83193500
  145      1.81409500     74.64058500    682.19222000
  146      1.82660600     73.25855700    669.55250400
  147      1.83911700     71.87652900    656.91278800
  148      1.85162800     70.49450000    644.27307300
  149      1.86413900     69.11247200    631.63335700
  150      1.87665000     67.73044400    618.99364100
  151      1.88916100     66.34841600    606.35392600
