Particle 129: Vec3(x=2.948237114605312, y=1.1643813997961325, z=0.9303798194248428) nm
Particle 130: Vec3(x=2.8683537712067584, y=1.211566068804158, z=0.9676928031717245) nm
Particle 131: Vec3(x=2.9202004321180484, y=1.1073062608020399, z=0.8532022757872236) nm
Particle 132: Vec3(x=0.005279943395554923, y=1.323979376403819, z=1.150121277358981) nm
Particle 133: Vec3(x=0.03976739539959592, y=1.3086557360431206, z=1.242726903529253) nm
Particle 134: Vec3(x=-0.02636824239031873, y=1.4184509374501142, z=1.1415470842213058) nm
Particle 135: Vec3(x=-0.04561148627453518, y=1.1168799689197961, z=1.6532155309463437) nm
Particle 136: Vec3(x=-0.0753581607514577, y=1.0445661404763973, z=1.5908789776934897) nm
Particle 137: Vec3(x=-0.018629021037460242, y=1.0765135075514585, z=1.740636899411678) nm
Particle 138: Vec3(x=3.350602162295604, y=1.2401223515555133, z=1.904320425889166) nm
Particle 139: Vec3(x=3.2873300032886745, y=1.2729506713523724, z=1.9744555498424337) nm
Particle 140: Vec3(x=3.309572169853042, y=1.1627967265255446, z=1.8559749221487847) nm
Particle 141: Vec3(x=2.958248001949769, y=1.2611699309252569, z=2.1485753301534434) nm
Particle 142: Vec3(x=3.0265764349553104, y=1.3159855082367475, z=2.1003417523778056) nm
Particle 143: Vec3(x=3.004257684714887, y=1.1920741109121256, z=2.2043326350254455) nm
Particle 144: Vec3(x=2.978677439176053, y=1.3902048626632915, z=2.4035617573323944) nm
Particle 145: Vec3(x=2.942647833780298, y=1.335403070418949, z=2.3280724772996817) nm
Particle 146: Vec3(x=2.949236817477634, y=1.350584075440123, z=2.4905298164797056) nm
Particle 147: Vec3(x=-0.1398400133428764, y=1.4695216546127716, z=2.6879571418944455) nm
Particle 148: Vec3(x=-0.04662878633810149, y=1.4466851139852333, z=2.6598473594254486) nm
Particle 149: Vec3(x=-0.1513101987524567, y=1.568861517719754, z=2.6877936103100493) nm
Particle 150: Vec3(x=-0.10093668819297252, y=1.5967894721940126, z=-0.08783198008136348) nm
Particle 151: Vec3(x=-0.13480667549613953, y=1.5042979376008596, z=-0.07056524076236857) nm
Particle 152: Vec3(x=-0.11727028234653505, y=1.6538346470920795, z=-0.007339359171749004) nm
Particle 153: Vec3(x=-0.1814253779407218, y=1.7035658377368579, z=0.5855045979831006) nm
Particle 154: Vec3(x=-0.2583981635853979, y=1.6397703638137717, z=0.5831963356386519) nm
Particle 155: Vec3(x=-0.09683492011321611, y=1.653123212689032, z=0.6028249998502824) nm
Particle 156: Vec3(x=0.029554319437143314, y=1.5243669474292665, z=0.6218983134730773) nm
Particle 157: Vec3(x=0.07496304989855351, y=1.5172759063056567, z=0.7107114016509438) nm
Particle 158: Vec3(x=0.08886833785685935, y=1.4862246505274928, z=0.5509968839812416) nm
Particle 159: Vec3(x=-0.04537360641232491, y=1.5875642493356799, z=1.0667836009381817) nm
Particle 160: Vec3(x=-0.060637169288027225, y=1.6656934139715158, z=1.1273051473466231) nm
Particle 161: Vec3(x=-0.1253304808221183, y=1.574729622609712, z=1.0081135839836517) nm
Particle 162: Vec3(x=2.9656142810653194, y=1.5493702571929706, z=1.1786797479777267) nm
Particle 163: Vec3(x=3.024235554263955, y=1.625310165650061, z=1.206905213963657) nm
Particle 164: Vec3(x=2.8746104866726636, y=1.5841253009500675, z=1.156087788399047) nm
Particle 165: Vec3(x=3.120618569074369, y=1.4180437448572984, z=1.5001357813171332) nm
Particle 166: Vec3(x=3.162356411455751, y=1.4219484261217374, z=1.590925132430539) nm
Particle 167: Vec3(x=3.1830634136811047, y=1.457959836676483, z=1.4329990008317222) nm
Particle 168: Vec3(x=-0.016264058326951686, y=1.493221082280774, z=1.84946467270205) nm
Particle 169: Vec3(x=-0.06552475664795188, y=1.4905872260114699, z=1.9364499973269733) nm
Particle 170: Vec3(x=-0.07432484096255765, y=1.534908408207766, z=1.7795281824067763) nm
Particle 171: Vec3(x=-0.09259479884856447, y=1.5089077446519188, z=2.115364006483783) nm
Particle 172: Vec3(x=0.0011941704084423397, y=1.5124466193937587, z=2.1498764087370748) nm
Particle 173: Vec3(x=-0.15070117446590875, y=1.5687160831471316, z=2.170560130053118) nm
Particle 174: Vec3(x=3.241341736604048, y=1.4225026109704135, z=2.353860203109534) nm
Particle 175: Vec3(x=3.1483498468762394, y=1.4011243242104467, z=2.3837847348198706) nm
Particle 176: Vec3(x=3.2626659603746955, y=1.5175147996737712, z=2.376618976723245) nm
Particle 177: Vec3(x=3.0272058906671626, y=1.676345844924383, z=2.7122557915944885) nm
Particle 178: Vec3(x=2.99565608091794, y=1.7711562331745856, z=2.716205485589844) nm
Particle 179: Vec3(x=3.127187848901726, y=1.6744743748625723, z=2.711930329748797) nm
Particle 180: Vec3(x=3.006601901223189, y=1.8847135142213556, z=-0.04291088662115823) nm
Particle 181: Vec3(x=3.0571915483863665, y=1.7989013478726166, z=-0.051683571755414326) nm
Particle 182: Vec3(x=2.9350657629050185, y=1.8885152082381362, z=-0.11268286047276706) nm
Particle 183: Vec3(x=-0.06917609978742457, y=1.858723347880164, z=0.3907568601518115) nm
Particle 184: Vec3(x=-0.10772353281271617, y=1.950934315489968, z=0.3874052698356285) nm
Particle 185: Vec3(x=-0.12372578677976565, y=1.8020159637664641, z=0.45247075270480286) nm
Particle 186: Vec3(x=3.0285478079582964, y=1.8620162579892232, z=0.8217505736133942) nm
Particle 187: Vec3(x=3.0766230633523843, y=1.8642387703699927, z=0.734093112119613) nm
Particle 188: Vec3(x=3.0452533045207755, y=1.9473710313488781, z=0.8711012508868233) nm
Particle 189: Vec3(x=3.1681880528515247, y=1.6708242979207117, z=0.9582682975382998) nm
Particle 190: Vec3(x=3.145657344443046, y=1.5740715702195625, z=0.9468106730453013) nm
Particle 191: Vec3(x=3.1078685335406466, y=1.7261269298541486, z=0.9007950447213359) nm
Particle 192: Vec3(x=-0.06836978759154055, y=1.8071122432893598, z=1.2174158952976897) nm
Particle 193: Vec3(x=-0.08011599739957259, y=1.8806435853725565, z=1.1506688460399672) nm
Particle 194: Vec3(x=-0.013827984130294724, y=1.8403433904876314, z=1.2943631683429695) nm
Particle 195: Vec3(x=-0.13503855521436461, y=1.615582458552491, z=1.6424590855086922) nm
Particle 196: Vec3(x=-0.19381634882478904, y=1.6248009815211182, z=1.5620837776673504) nm
Particle 197: Vec3(x=-0.04623419386353181, y=1.657604662555557, z=1.6238064697720556) nm
