# Header information on force file

1_1
N 2000  R        0.007500       15.000000
  192      1.44000000    156.68690400    259.60925700
  193      1.44750000    154.75608200    257.98451300
  194      1.45500000    152.82526000    256.35977000
  195      1.46250000    150.90526900    254.73502600
  196      1.47000000    149.00694300    253.11028200
  197      1.47750000    147.10861600    251.48553800
  198      1.48500000    145.23195200    249.86079500
  199      1.49250000    143.36611900    248.23605100
  200      1.50000000    141.50028700    246.61130800
  201      1.50750000    139.66695000    244.98656400
  202      1.51500000    137.83361200    243.36182100
  203      1.52250000    136.01110600    241.73707700
  204      1.53000000    134.21026400    240.11233300
  205      1.53750000    132.40942200    238.48758900
  206      1.54500000    130.63024300    236.86284600
  207      1.55250000    128.86189500    235.23810200
  208      1.56000000    127.09354700    233.61335800
  209      1.56750000    125.35769400    231.98861400
  210      1.57500000    123.62184100    230.36387100
  211      1.58250000    121.89682000    228.73912700
  212      1.59000000    120.19346300    227.11438300
  213      1.59750000    118.49010500    225.48963900
  214      1.60500000    116.80841000    223.86489600
  215      1.61250000    115.13754700    222.24015200
  216      1.62000000    113.46668400    220.61540900
  217      1.62750000    111.82831600    218.99066500
  218      1.63500000    110.18994700    217.36592200
  219      1.64250000    108.56241100    215.74117800
  220      1.65000000    106.95653800    214.11643400
  221      1.65750000    105.35066500    212.49169000
  222      1.66500000    103.76645500    210.86694600
  223      1.67250000    102.19307700    209.24220300
  224      1.68000000    100.61969800    207.61745900
  225      1.68750000     99.07881400    205.99271500
  226      1.69500000     97.53793100    204.36797200
  227      1.70250000     96.00787900    202.74322800
  228      1.71000000     94.49949100    201.11848400
  229      1.71750000     92.99110200    199.49374000
  230      1.72500000     91.50437700    197.86899700
  231      1.73250000     90.02848300    196.24425300
  232      1.74000000     88.55258900    194.61950900
  233      1.74750000     87.10919000    192.99476600
  234      1.75500000     85.66579100    191.37002200
  235      1.76250000     84.23322400    189.74527900
  236      1.77000000     82.82232000    188.12053500
  237      1.77750000     81.41141600    186.49579100
  238      1.78500000     80.02217600    184.87104800
  239      1.79250000     78.64376600    183.24630400
  240      1.80000000     77.26535700    181.62156000
  241      1.80750000     75.91944300    179.99681600
  242      1.81500000     74.57352800    178.37207300
  243      1.82250000     73.23844600    176.74732900
  244      1.83000000     71.92502700    175.12258500
  245      1.83750000     70.61160700    173.49784100
  246      1.84500000     69.31985100    171.87309800
  247      1.85250000     68.03892700    170.24835400
  248      1.86000000     66.75800200    168.62361000
  249      1.86750000     65.50957200    166.99886700
  250      1.87500000     64.26114300    165.37412300
  251      1.88250000     63.02354400    163.74938000
  252      1.89000000     61.80760900    162.12463600
  253      1.89750000     60.59167500    160.49989200
  254      1.90500000     59.39740300    158.87514800
  255      1.91250000     58.21396400    157.25040500
  256      1.92000000     57.03052400    155.62566100
  257      1.92750000     55.87957900    154.00091700
  258      1.93500000     54.72863400    152.37617400
  259      1.94250000     53.58852000    150.75143000
  260      1.95000000     52.47007000    149.12668600
  261      1.95750000     51.35162000    147.50194200
  262      1.96500000     50.25483300    145.87719900
  263      1.97250000     49.16887700    144.25245500
  264      1.98000000     48.08292200    142.62771100
  265      1.98750000     47.02946200    141.00296800
  266      1.99500000     45.97600200    139.37822400
  267      2.00250000     44.93337300    137.75348100
  268      2.01000000     43.91240800    136.12873700
  269      2.01750000     42.89144200    134.50399300
  270      2.02500000     41.89214000    132.87925000
  271      2.03250000     40.90366900    131.25450600
  272      2.04000000     39.91519800    129.62976200
  273      2.04750000     38.95922300    128.00501800
  274      2.05500000     38.00324700    126.38027500
  275      2.06250000     37.05810300    124.75553100
  276      2.07000000     36.13462200    123.13078700
  277      2.07750000     35.21114100    121.50604300
  278      2.08500000     34.30932300    119.88130000
  279      2.09250000     33.41833700    118.25655600
  280      2.10000000     32.52735100    116.63181200
  281      2.10750000     31.66886000    115.00706800
  282      2.11500000     30.81036900    113.38232500
  283      2.12250000     29.96270900    111.75758100
  284      2.13000000     29.13671300    110.13283800
  285      2.13750000     28.31071700    108.50809400
  286      2.14500000     27.50638400    106.88335100
  287      2.15250000     26.71288300    105.25860700
  288      2.16000000     25.91938100    103.63386300
  289      2.16750000     25.15837400    102.00911900
  290      2.17500000     24.39736800    100.38437600
  291      2.18250000     23.64719300     98.75963200
  292      2.19000000     22.91868100     97.13488800
  293      2.19750000     22.19016900     95.51014400
  294      2.20500000     21.48332100     93.88540100
  295      2.21250000     20.78730500     92.26065700
  296      2.22000000     20.09128800     90.63591300
  297      2.22750000     19.42776600     89.01116900
  298      2.23500000     18.76424400     87.38642600
  299      2.24250000     18.11155400     85.76168200
  300      2.25000000     17.48052600     84.13693800
  301      2.25750000     16.84949900     82.51219500
  302      2.26500000     16.24013500     80.88745100
  303      2.27250000     15.64160300     79.26270800
  304      2.28000000     15.04307100     77.63796400
  305      2.28750000     14.47703400     76.01322000
  306      2.29500000     13.91099600     74.38847600
  307      2.30250000     13.35579100     72.76373300
  308      2.31000000     12.82224800     71.13898900
  309      2.31750000     12.28870600     69.51424500
  310      2.32500000     11.77682700     67.88950200
  311      2.33250000     11.27578000     66.26475800
  312      2.34000000     10.77473200     64.64001400
  313      2.34750000     10.30617900     63.01527000
  314      2.35500000      9.83762600     61.39052600
  315      2.36250000      9.37990500     59.76578300
  316      2.37000000      8.94384700     58.14103900
  317      2.37750000      8.50779000     56.51629600
  318      2.38500000      8.09339500     54.89155300
  319      2.39250000      7.68983300     53.26680900
  320      2.40000000      7.28627000     51.64206500
  321      2.40750000      6.91520200     50.01732100
  322      2.41500000      6.54413400     48.39257700
  323      2.42250000      6.18468200     46.68933100
  324      2.43000000      5.84846400     44.82907700
  325      2.43750000      5.51224600     42.96882300
  326      2.44500000      5.20084600     41.10706000
  327      2.45250000      4.90185600     39.24454100
  328      2.46000000      4.60286600     37.38202300
  329      2.46750000      4.33996300     35.63583400
  330      2.47500000      4.07705900     33.88964600
  331      2.48250000      3.82527100     32.19607400
  332      2.49000000      3.59571300     30.60773500
  333      2.49750000      3.36615400     29.01939600
  334      2.50500000      3.15671100     27.53743200
  335      2.51250000      2.95732400     26.10865400
  336      2.52000000      2.75793700     24.67987700
  337      2.52750000      2.58561900     23.40180900
  338      2.53500000      2.41330000     22.12374100
  339      2.54250000      2.24903500     20.89240000
  340      2.55000000      2.10087600     19.75451400
  341      2.55750000      1.95271700     18.61662700
  342      2.56500000      1.81887100     17.56463500
  343      2.57250000      1.69218200     16.55559000
  344      2.58000000      1.56549200     15.54654600
  345      2.58750000      1.45781100     14.65475500
  346      2.59500000      1.35013000     13.76296400
  347      2.60250000      1.24804100     12.90649600
  348      2.61000000      1.15713600     12.12067300
  349      2.61750000      1.06623100     11.33484900
  350      2.62500000      0.98516700     10.61263500
  351      2.63250000      0.90902500      9.92222600
  352      2.64000000      0.83288200      9.23181700
  353      2.64750000      0.76969000      8.62711700
  354      2.65500000      0.70649900      8.02241700
  355      2.66250000      0.64708200      7.44333000
  356      2.67000000      0.59521600      6.91547000
  357      2.67750000      0.54335000      6.38761000
  358      2.68500000      0.49806300      5.90561600
  359      2.69250000      0.45606700      5.44655400
  360      2.70000000      0.41407000      4.98749200
  361      2.70750000      0.38063900      4.58999300
  362      2.71500000      0.34720800      4.19249400
  363      2.72250000      0.31624300      3.81336600
  364      2.73000000      0.29021100      3.47097800
  365      2.73750000      0.26417800      3.12859000
  366      2.74500000      0.24238200      2.81912500
  367      2.75250000      0.22270300      2.52612000
  368      2.76000000      0.20302500      2.23311600
  369      2.76750000      0.18876300      1.98442100
  370      2.77500000      0.17450200      1.73572600
  371      2.78250000      0.16176600      1.50030300
  372      2.79000000      0.15208000      1.29142600
  373      2.79750000      0.14239400      1.08254900
  374      2.80500000      0.13525500      0.89756300
  375      2.81250000      0.12938800      0.72452400
  376      2.82000000      0.12352200      0.55148400
  377      2.82750000      0.12079300      0.41074100
  378      2.83500000      0.11806400      0.26999800
  379      2.84250000      0.11617700      0.13895900
  380      2.85000000      0.11597200      0.02732800
  381      2.85750000      0.11576700     -0.08430200
  382      2.86500000      0.11687600     -0.17846100
  383      2.87250000      0.11864200     -0.26388500
  384      2.88000000      0.12040700     -0.34930800
  385      2.88750000      0.12364600     -0.41123600
  386      2.89500000      0.12688500     -0.47316500
  387      2.90250000      0.13046700     -0.52812700
  388      2.91000000      0.13473600     -0.56915700
