LAMMPS data file. CGCMM style. atom_style full generated by VMD/TopoTools v1.6 on Mon Aug 08 19:28:00 CDT 2022
 512 atoms
 0 bonds
 0 angles
 0 dihedrals
 0 impropers
 1 atom types
 0 bond types
 0 angle types
 0 dihedral types
 0 improper types
 0.003735 25.072535  xlo xhi
 -0.194845 24.873955  ylo yhi
 -0.028463 25.040337  zlo zhi

 Masses

 1 18.015400 #water

 Atoms

138 1 1 0.000000 15.008323 22.651556 0.653078 #  UNK
139 1 1 0.000000 8.498980 5.645784 22.085266 #  UNK
140 1 1 0.000000 18.189079 14.578816 6.625799 #  UNK
141 1 1 0.000000 4.715081 15.561845 9.928500 #  UNK
142 1 1 0.000000 18.846979 0.207899 9.174864 #  UNK
143 1 1 0.000000 15.273428 15.373261 16.043737 #  UNK
144 1 1 0.000000 17.186762 19.996206 8.020027 #  UNK
145 1 1 0.000000 8.306772 18.494955 5.256141 #  UNK
146 1 1 0.000000 24.682812 4.680041 18.688845 #  UNK
147 1 1 0.000000 14.509961 11.512394 4.686210 #  UNK
148 1 1 0.000000 19.623299 17.492889 22.614971 #  UNK
149 1 1 0.000000 16.389540 0.908658 12.891611 #  UNK
150 1 1 0.000000 12.060133 19.204956 8.907169 #  UNK
151 1 1 0.000000 12.361933 9.036205 16.953150 #  UNK
152 1 1 0.000000 3.335712 19.562822 18.337378 #  UNK
153 1 1 0.000000 11.016784 16.474222 12.048028 #  UNK
154 1 1 0.000000 16.901989 5.684683 9.573623 #  UNK
155 1 1 0.000000 5.334980 19.232800 14.893505 #  UNK
156 1 1 0.000000 11.862184 18.849365 22.999256 #  UNK
157 1 1 0.000000 24.325872 15.455961 11.226500 #  UNK
158 1 1 0.000000 2.666893 3.806707 20.432444 #  UNK
159 1 1 0.000000 11.080161 1.407291 5.243569 #  UNK
160 1 1 0.000000 21.930344 2.892768 12.546355 #  UNK
161 1 1 0.000000 20.557722 18.018999 15.826034 #  UNK
162 1 1 0.000000 21.901554 10.771789 3.204212 #  UNK
163 1 1 0.000000 18.611988 12.102689 13.056100 #  UNK
164 1 1 0.000000 15.155334 12.059916 22.961422 #  UNK
165 1 1 0.000000 5.250621 5.772325 13.637667 #  UNK
166 1 1 0.000000 2.056938 9.742303 10.242967 #  UNK
167 1 1 0.000000 4.801536 19.992001 8.109758 #  UNK
168 1 1 0.000000 11.408084 4.876665 15.762506 #  UNK
169 1 1 0.000000 8.772408 1.640784 19.346828 #  UNK
170 1 1 0.000000 10.384349 11.637439 19.776844 #  UNK
171 1 1 0.000000 12.896589 22.625450 19.982073 #  UNK
172 1 1 0.000000 6.904996 1.592690 2.224071 #  UNK
173 1 1 0.000000 0.631622 3.304244 16.669498 #  UNK
174 1 1 0.000000 9.062006 3.465912 2.800405 #  UNK
175 1 1 0.000000 0.916093 14.229745 18.245367 #  UNK
176 1 1 0.000000 3.795037 1.446210 6.021929 #  UNK
177 1 1 0.000000 11.449911 2.726844 11.039756 #  UNK
178 1 1 0.000000 18.320366 21.573345 18.216227 #  UNK
179 1 1 0.000000 15.431622 15.701777 9.296685 #  UNK
180 1 1 0.000000 13.028216 6.462450 22.736023 #  UNK
181 1 1 0.000000 14.553628 4.353720 21.856417 #  UNK
182 1 1 0.000000 8.853292 9.272201 7.982077 #  UNK
183 1 1 0.000000 6.557048 3.122352 16.282677 #  UNK
184 1 1 0.000000 5.952491 15.719072 7.321402 #  UNK
185 1 1 0.000000 24.021845 21.448784 1.807786 #  UNK
186 1 1 0.000000 2.950448 15.249972 19.892889 #  UNK
187 1 1 0.000000 10.097905 24.289249 6.661386 #  UNK
188 1 1 0.000000 3.550179 11.942166 20.215834 #  UNK
189 1 1 0.000000 21.624216 3.432860 17.336212 #  UNK
190 1 1 0.000000 19.170195 23.730267 15.180944 #  UNK
191 1 1 0.000000 13.311045 16.030144 21.703011 #  UNK
192 1 1 0.000000 9.585382 1.727077 8.317750 #  UNK
193 1 1 0.000000 8.959317 24.595402 21.243868 #  UNK
194 1 1 0.000000 9.155683 8.543775 20.745417 #  UNK
195 1 1 0.000000 1.591391 9.260173 2.657413 #  UNK
196 1 1 0.000000 21.440977 14.463561 22.030756 #  UNK
197 1 1 0.000000 17.019810 21.459005 11.799767 #  UNK
198 1 1 0.000000 16.353024 15.766800 12.303100 #  UNK
199 1 1 0.000000 19.682060 20.467812 4.640933 #  UNK
200 1 1 0.000000 24.230865 18.382406 11.492105 #  UNK
201 1 1 0.000000 13.289361 19.112978 18.713211 #  UNK
202 1 1 0.000000 11.120194 7.190381 2.648868 #  UNK
203 1 1 0.000000 18.996151 16.488028 11.356722 #  UNK
204 1 1 0.000000 18.361399 14.322017 2.391678 #  UNK
205 1 1 0.000000 21.631323 17.500238 2.074626 #  UNK
206 1 1 0.000000 17.718506 17.495440 1.646182 #  UNK
207 1 1 0.000000 3.351142 18.344128 1.630455 #  UNK
208 1 1 0.000000 3.168801 23.561359 12.385584 #  UNK
209 1 1 0.000000 5.132699 14.410278 24.609770 #  UNK
210 1 1 0.000000 21.747507 13.424344 2.375634 #  UNK
211 1 1 0.000000 20.385399 8.250790 20.770477 #  UNK
212 1 1 0.000000 14.454900 24.645061 20.910395 #  UNK
213 1 1 0.000000 8.484815 14.779611 20.423672 #  UNK
214 1 1 0.000000 12.349361 24.434742 1.004811 #  UNK
215 1 1 0.000000 19.157539 9.155575 3.998285 #  UNK
216 1 1 0.000000 16.182306 10.754961 7.412685 #  UNK
217 1 1 0.000000 14.947056 7.841263 23.995544 #  UNK
218 1 1 0.000000 21.839928 5.826587 5.796979 #  UNK
219 1 1 0.000000 7.538402 19.891382 13.096761 #  UNK
220 1 1 0.000000 2.217216 14.691873 7.337800 #  UNK
221 1 1 0.000000 3.231497 7.315504 3.738908 #  UNK
222 1 1 0.000000 17.878994 9.281699 17.519073 #  UNK
223 1 1 0.000000 4.093214 15.068961 17.475035 #  UNK
224 1 1 0.000000 17.182016 16.272022 18.163345 #  UNK
225 1 1 0.000000 20.099062 24.498003 17.758511 #  UNK
226 1 1 0.000000 22.561350 21.632128 14.698533 #  UNK
227 1 1 0.000000 5.487760 24.470293 15.757144 #  UNK
228 1 1 0.000000 19.422184 8.506434 14.218406 #  UNK
229 1 1 0.000000 8.699669 7.081512 5.644413 #  UNK
230 1 1 0.000000 14.140394 0.948046 5.363996 #  UNK
231 1 1 0.000000 24.279388 9.698957 23.182295 #  UNK
232 1 1 0.000000 23.192755 24.227699 6.505592 #  UNK
