Particle 103: Vec3(x=2.556333558018552, y=2.2179434844626984, z=2.4402977660485528) nm
Particle 104: Vec3(x=0.7869697242473004, y=1.1944640357580267, z=2.493940921554296) nm
Particle 105: Vec3(x=0.8959805612094153, y=1.6927508477360382, z=0.48551323782437716) nm
Particle 106: Vec3(x=0.43692175132807876, y=1.1353131786284423, z=0.20367161936274233) nm
Particle 107: Vec3(x=0.7704046280986232, y=0.5088568688760107, z=1.474572533664471) nm
Particle 108: Vec3(x=2.0393254602075834, y=1.1872769743614333, z=2.38622021040511) nm
Particle 109: Vec3(x=0.028875596516780268, y=2.0766208364759646, z=0.6642445481033329) nm
Particle 110: Vec3(x=-0.007785227030663564, y=1.7824345277670999, z=0.7213700843136088) nm
Particle 111: Vec3(x=0.8160264993833272, y=1.5222701986625318, z=0.022459508763517752) nm
Particle 112: Vec3(x=2.248468902719646, y=0.5263103339501741, z=0.9159702145806417) nm
Particle 113: Vec3(x=0.6937372434172222, y=0.680373494112814, z=-0.054663949578149774) nm
Particle 114: Vec3(x=0.4272899615474449, y=1.0992680563668369, z=1.0360569660750452) nm
Particle 115: Vec3(x=0.6124862144413281, y=1.845239745998013, z=1.7936291259089556) nm
Particle 116: Vec3(x=1.0878776093302909, y=1.5470248731824627, z=1.8882446208795487) nm
Particle 117: Vec3(x=2.1685331559662844, y=0.6527005530190427, z=1.6100416835857092) nm
Particle 118: Vec3(x=1.9309517159739207, y=0.6508888933315222, z=1.1670330364729729) nm
Particle 119: Vec3(x=0.19787545441608204, y=1.3689896486886846, z=0.1890757324054561) nm
Particle 120: Vec3(x=0.5416337668741297, y=1.9879671042632883, z=2.0174204058755354) nm
Particle 121: Vec3(x=2.230400399103855, y=1.5575402031576449, z=1.2802108268857673) nm
Particle 122: Vec3(x=1.5028954174246225, y=1.218111885935987, z=1.8753223079939287) nm
Particle 123: Vec3(x=1.4669537088944278, y=0.04875630510288728, z=1.0445427403140584) nm
Particle 124: Vec3(x=2.2908209213448867, y=0.5401263137908501, z=2.4080731979435375) nm
Particle 125: Vec3(x=0.1549434253841055, y=0.18263219588709428, z=0.3737976833435733) nm
Particle 126: Vec3(x=0.11751868515722479, y=1.3245372245745144, z=1.9750403098787812) nm
Particle 127: Vec3(x=2.389325718600929, y=0.8382898607989563, z=2.480349323467623) nm
Particle 128: Vec3(x=0.20790839791133545, y=1.8238427630526461, z=0.9461240412972917) nm
Particle 129: Vec3(x=1.906904666621249, y=0.14317373248142395, z=1.8133679276334878) nm
Particle 130: Vec3(x=2.230902081348361, y=2.464790869725598, z=1.5638031278438198) nm
Particle 131: Vec3(x=1.6701980161090264, y=1.2877768617727032, z=1.8488188806981585) nm
Particle 132: Vec3(x=2.256544248791799, y=0.684600896584157, z=2.1775919515152085) nm
Particle 133: Vec3(x=1.9070340560228745, y=0.04287836138621177, z=0.4798035590890059) nm
Particle 134: Vec3(x=2.0012023411328603, y=2.2805340607963926, z=0.6754670122554352) nm
Particle 135: Vec3(x=1.730757390734123, y=0.6035532675032228, z=2.0484145114675174) nm
Particle 136: Vec3(x=-0.07506185834135715, y=1.2450729960672051, z=1.0548272499855602) nm
Particle 137: Vec3(x=1.4946222677845948, y=2.336586296012092, z=0.0237351368157129) nm
Particle 138: Vec3(x=0.8416215355545646, y=0.534650563271324, z=2.2767662351790308) nm
Particle 139: Vec3(x=1.8414261231092541, y=1.463107716989487, z=0.6056262412777734) nm
Particle 140: Vec3(x=0.41345410950372297, y=1.5673680576717162, z=0.950716167668519) nm
Particle 141: Vec3(x=1.8904908971021306, y=-0.007885318371776629, z=0.9635582395520005) nm
Particle 142: Vec3(x=1.5372512963015483, y=1.5555501464617996, z=1.6228322711114826) nm
Particle 143: Vec3(x=1.7306268129054303, y=2.028464291607506, z=0.7251819159004762) nm
Particle 144: Vec3(x=0.8172055809879972, y=1.9077629907057532, z=0.4710218618787324) nm
Particle 145: Vec3(x=2.511425477401247, y=0.41882357716780116, z=1.929341177907118) nm
Particle 146: Vec3(x=1.3867722007642378, y=1.2997909143927557, z=0.5488268897855915) nm
Particle 147: Vec3(x=1.9402966919388367, y=1.8001737949230265, z=2.251173171276302) nm
Particle 148: Vec3(x=1.5208896524156381, y=0.2272607203201797, z=1.372807861968225) nm
Particle 149: Vec3(x=1.196092709201342, y=1.962048468570916, z=0.890995896880581) nm
Particle 150: Vec3(x=1.2381718869209353, y=0.8808539227873297, z=1.7137561250733908) nm
Particle 151: Vec3(x=0.2833177021479793, y=1.9851186381866606, z=1.8506222415044418) nm
Particle 152: Vec3(x=0.9163094933492472, y=1.6490803618481689, z=1.0502696459576002) nm
Particle 153: Vec3(x=1.6957545044901845, y=0.5264673461205285, z=0.9774859479170658) nm
Particle 154: Vec3(x=0.42342193600817307, y=1.8900372293328802, z=1.540394235925365) nm
Particle 155: Vec3(x=1.1697015563759734, y=1.8830721816364833, z=2.323111012755248) nm
Particle 156: Vec3(x=2.520247131621363, y=1.5768211462622028, z=1.138839308515293) nm
Particle 157: Vec3(x=0.27414617934849883, y=0.4767817445802131, z=2.0339377705061277) nm
Particle 158: Vec3(x=1.0960138668118837, y=0.1704434696588003, z=0.512661041906493) nm
Particle 159: Vec3(x=2.1797519744720124, y=0.21031353089280208, z=1.2295023588338971) nm
Particle 160: Vec3(x=2.09190047588002, y=1.7897592804964595, z=1.5906524330180765) nm
Particle 161: Vec3(x=2.1380774687877673, y=1.0371794645030619, z=0.26894239970610995) nm
Particle 162: Vec3(x=1.8983512856159093, y=1.180790768475482, z=1.2979387824943989) nm
Particle 163: Vec3(x=1.4985249871321766, y=1.2278449811082823, z=2.3356926319539713) nm
Particle 164: Vec3(x=0.48554507219859305, y=0.47310456649185545, z=1.352250975249313) nm
Particle 165: Vec3(x=0.22394975827994576, y=0.9978396373616933, z=1.0243987644687051) nm
Particle 166: Vec3(x=0.5419273860044028, y=1.8820545367502837, z=0.8594119277024527) nm
Particle 167: Vec3(x=1.0736650702924913, y=0.4876121617725312, z=1.48852998858859) nm
Particle 168: Vec3(x=0.9771464493050185, y=0.22132226337397343, z=1.8033722784624846) nm
Particle 169: Vec3(x=0.9941014677885301, y=1.1688519521914962, z=1.9972706047260518) nm
Particle 170: Vec3(x=1.1538181367270846, y=2.2099835536796633, z=1.9099063726639447) nm
Particle 171: Vec3(x=0.8061075341346198, y=0.27120464967645025, z=0.14927641311690418) nm
Particle 172: Vec3(x=0.058915456088476155, y=0.33321642975370575, z=1.6889663557438959) nm
Particle 173: Vec3(x=0.8545645889710056, y=0.29928925792981437, z=0.29565036243002374) nm
Particle 174: Vec3(x=0.017567256467166767, y=1.438330725248192, z=1.8394479792686713) nm
Particle 175: Vec3(x=0.3630458993415724, y=0.11517134967455074, z=0.5875462327611867) nm
Particle 176: Vec3(x=1.2047453516036388, y=0.33679688120420714, z=1.056175866860429) nm
Particle 177: Vec3(x=1.8533958534436772, y=2.2029226484117523, z=1.8402236181770781) nm
Particle 178: Vec3(x=1.5129508288277476, y=1.5936123229458168, z=0.9359257041590109) nm
Particle 179: Vec3(x=1.2523595534749932, y=0.9190458392631651, z=2.153400218734805) nm
Particle 180: Vec3(x=1.4904985351380036, y=0.4463123018396829, z=2.1844719370016774) nm
Particle 181: Vec3(x=0.8794778630526272, y=0.9420882281469971, z=0.7968842023876357) nm
Particle 182: Vec3(x=0.5693473156486051, y=0.324613652873345, z=1.68751426217852) nm
Particle 183: Vec3(x=0.5705692940457597, y=1.5854064713307836, z=0.6959703746266839) nm
