# Header information on force file

1_1
N 2000  R        0.005000       10.000000
  117      0.58500000    210.41262600   1923.93239500
  118      0.59000000    209.86030000   1918.88095400
  119      0.59500000    209.30797500   1913.82951300
  120      0.60000000    208.75565000   1908.77807200
  121      0.60500000    208.20332500   1903.72663100
  122      0.61000000    207.65099900   1898.67519000
  123      0.61500000    207.09867400   1893.62374900
  124      0.62000000    206.54634900   1888.57230800
  125      0.62500000    205.99402400   1883.52086700
  126      0.63000000    205.44169800   1878.46942600
  127      0.63500000    204.88937300   1873.41798500
  128      0.64000000    204.33704800   1868.36654400
  129      0.64500000    203.78472300   1863.31510300
  130      0.65000000    203.23239700   1858.26366200
  131      0.65500000    202.68007200   1853.21222100
  132      0.66000000    202.12774700   1848.16078000
  133      0.66500000    201.57542200   1843.10933900
  134      0.67000000    201.02309600   1838.05789800
  135      0.67500000    200.47077100   1833.00645700
  136      0.68000000    199.91844600   1827.95501600
  137      0.68500000    199.36612100   1822.90357500
  138      0.69000000    198.81379500   1817.85213400
  139      0.69500000    198.26147000   1812.80069300
  140      0.70000000    197.70914500   1807.74925200
  141      0.70500000    197.15682000   1802.69781100
  142      0.71000000    196.60449400   1797.64637000
  143      0.71500000    196.05216900   1792.59492900
  144      0.72000000    195.49984400   1787.54348800
  145      0.72500000    194.94751900   1782.49204700
  146      0.73000000    194.39519300   1777.44060600
  147      0.73500000    193.84286800   1772.38916500
  148      0.74000000    193.29054300   1767.33772400
  149      0.74500000    192.73821800   1762.28628300
  150      0.75000000    192.18589200   1757.23484200
  151      0.75500000    191.63356700   1752.18340100
  152      0.76000000    191.08124200   1747.13196000
  153      0.76500000    190.52891700   1742.08051900
  154      0.77000000    189.97659100   1737.02907800
  155      0.77500000    189.42426600   1731.97763700
  156      0.78000000    188.87194100   1726.92619600
  157      0.78500000    188.31961600   1721.87475500
  158      0.79000000    187.76729000   1716.82331400
  159      0.79500000    187.21496500   1711.77187300
  160      0.80000000    186.66264000   1706.72043200
  161      0.80500000    186.11031500   1701.66899100
  162      0.81000000    185.55798900   1696.61755000
  163      0.81500000    185.00566400   1691.56610900
  164      0.82000000    184.45333900   1686.51466800
  165      0.82500000    183.90101400   1681.46322700
  166      0.83000000    183.34868800   1676.41178600
  167      0.83500000    182.79636300   1671.36034500
  168      0.84000000    182.24403800   1666.30890400
  169      0.84500000    181.69171300   1661.25746300
  170      0.85000000    181.13938700   1656.20602200
  171      0.85500000    180.58706200   1651.15458100
  172      0.86000000    180.03473700   1646.10314000
  173      0.86500000    179.48241200   1641.05169900
  174      0.87000000    178.93008600   1636.00025800
  175      0.87500000    178.37776100   1630.94881700
  176      0.88000000    177.82543600   1625.89737600
  177      0.88500000    177.27311100   1620.84593500
  178      0.89000000    176.72078500   1615.79449400
  179      0.89500000    176.16846000   1610.74305300
  180      0.90000000    175.61613500   1605.69161200
  181      0.90500000    175.06381000   1600.64017100
  182      0.91000000    174.51148400   1595.58873000
  183      0.91500000    173.95915900   1590.53728900
  184      0.92000000    173.40683400   1585.48584800
  185      0.92500000    172.85450900   1580.43440700
  186      0.93000000    172.30218300   1575.38296600
  187      0.93500000    171.74985800   1570.33152500
  188      0.94000000    171.19753300   1565.28008400
  189      0.94500000    170.64520800   1560.22864300
  190      0.95000000    170.09288200   1555.17720200
  191      0.95500000    169.54055700   1550.12576100
  192      0.96000000    168.98823200   1545.07432000
  193      0.96500000    168.43590700   1540.02287900
  194      0.97000000    167.88358100   1534.97143800
  195      0.97500000    167.33125600   1529.91999700
  196      0.98000000    166.77893100   1524.86855600
  197      0.98500000    166.22660600   1519.81711500
  198      0.99000000    165.67428000   1514.76567400
  199      0.99500000    165.12195500   1509.71423300
  200      1.00000000    164.56963000   1504.66279200
  201      1.00500000    164.01730500   1499.61135100
  202      1.01000000    163.46497900   1494.55991000
  203      1.01500000    162.91265400   1489.50846900
  204      1.02000000    162.36032900   1484.45702800
  205      1.02500000    161.80800400   1479.40558700
  206      1.03000000    161.25567800   1474.35414600
  207      1.03500000    160.70335300   1469.30270500
  208      1.04000000    160.15102800   1464.25126400
  209      1.04500000    159.59870300   1459.19982300
  210      1.05000000    159.04637700   1454.14838200
  211      1.05500000    158.49405200   1449.09694100
  212      1.06000000    157.94172700   1444.04550000
  213      1.06500000    157.38940200   1438.99405900
  214      1.07000000    156.83707600   1433.94261800
  215      1.07500000    156.28475100   1428.89117700
  216      1.08000000    155.73242600   1423.83973600
